Species,coef,significant,significant2,ci.lower,ci.upper,chg_rad_inc_1SD_clim,variable,month,CP,sp
CACO_subcanopy,-0.197754062,FALSE,FALSE,-0.399174169,0.050298636,-0.028872742,tmp,curr.jul,subcanopy,CACO
CACO_subcanopy,-0.064580994,FALSE,FALSE,-0.224366088,0.088688493,-0.009429037,tmp,curr.aug,subcanopy,CACO
CACO_subcanopy,0.061319072,FALSE,FALSE,-0.113766605,0.23699474,0.008952786,tmx,prev.apr,subcanopy,CACO
CACO_subcanopy,-0.103862055,FALSE,FALSE,-0.313671212,0.110955238,-0.015164201,tmx,prev.may,subcanopy,CACO
CACO_subcanopy,0.026984721,FALSE,FALSE,-0.200013719,0.236991169,0.003939858,tmx,prev.jun,subcanopy,CACO
CACO_subcanopy,0.008677422,FALSE,FALSE,-0.160418991,0.171712327,0.001266932,tmx,prev.jul,subcanopy,CACO
CACO_subcanopy,-0.178445092,FALSE,FALSE,-0.377016634,0.039823006,-0.026053569,tmx,prev.aug,subcanopy,CACO
CACO_subcanopy,-0.178881685,FALSE,FALSE,-0.359655696,0.018482401,-0.026117313,tmx,prev.sep,subcanopy,CACO
CACO_subcanopy,-0.181427146,FALSE,FALSE,-0.363348643,0.006091261,-0.026488958,tmx,prev.oct,subcanopy,CACO
CACO_subcanopy,-0.09448036,FALSE,FALSE,-0.275552036,0.117515768,-0.013794442,tmx,prev.nov,subcanopy,CACO
CACO_subcanopy,0.047843149,FALSE,FALSE,-0.166751395,0.262034145,0.006985257,tmx,prev.dec,subcanopy,CACO
CACO_subcanopy,-0.002276134,FALSE,FALSE,-0.184006184,0.18604845,-0.000332323,tmx,curr.jan,subcanopy,CACO
CACO_subcanopy,-0.103743963,FALSE,FALSE,-0.292487701,0.080395363,-0.015146959,tmx,curr.feb,subcanopy,CACO
CACO_subcanopy,-0.111268691,FALSE,FALSE,-0.281235924,0.081118838,-0.016245594,tmx,curr.mar,subcanopy,CACO
CACO_subcanopy,0.075359345,FALSE,FALSE,-0.137897678,0.285477437,0.011002712,tmx,curr.apr,subcanopy,CACO
CACO_subcanopy,-0.155880095,FALSE,FALSE,-0.360064559,0.04124132,-0.022759005,tmx,curr.may,subcanopy,CACO
CACO_subcanopy,-0.345593148,TRUE,TRUE,-0.511645189,-0.15982995,-0.050457733,tmx,curr.jun,subcanopy,CACO
CACO_subcanopy,-0.200599889,FALSE,FALSE,-0.392671898,0.027463785,-0.029288242,tmx,curr.jul,subcanopy,CACO
CACO_subcanopy,-0.10401394,FALSE,FALSE,-0.266052994,0.070983699,-0.015186376,tmx,curr.aug,subcanopy,CACO
CACO_subcanopy,0.086734733,FALSE,FALSE,-0.102053238,0.259936682,0.012663555,vap,prev.apr,subcanopy,CACO
CACO_subcanopy,-0.086989769,FALSE,FALSE,-0.266376848,0.086156943,-0.012700791,vap,prev.may,subcanopy,CACO
CACO_subcanopy,0.175044494,FALSE,FALSE,-0.03653709,0.39247844,0.02555707,vap,prev.jun,subcanopy,CACO
CACO_subcanopy,0.056604375,FALSE,FALSE,-0.147048754,0.26003532,0.008264424,vap,prev.jul,subcanopy,CACO
CACO_subcanopy,0.132565027,FALSE,FALSE,-0.071900937,0.305934712,0.019354929,vap,prev.aug,subcanopy,CACO
CACO_subcanopy,0.033009201,FALSE,FALSE,-0.17429996,0.256506696,0.004819452,vap,prev.sep,subcanopy,CACO
CACO_subcanopy,0.005691261,FALSE,FALSE,-0.173898062,0.167279669,0.000830943,vap,prev.oct,subcanopy,CACO
CACO_subcanopy,0.111487637,FALSE,FALSE,-0.108480739,0.294508004,0.016277561,vap,prev.nov,subcanopy,CACO
CACO_subcanopy,0.117656891,FALSE,FALSE,-0.108023121,0.334836509,0.017178292,vap,prev.dec,subcanopy,CACO
CACO_subcanopy,0.038695695,FALSE,FALSE,-0.156737996,0.212243838,0.005649698,vap,curr.jan,subcanopy,CACO
CACO_subcanopy,-0.066841299,FALSE,FALSE,-0.23873238,0.100124064,-0.009759049,vap,curr.feb,subcanopy,CACO
CACO_subcanopy,0.061336279,FALSE,FALSE,-0.105208206,0.218426983,0.008955298,vap,curr.mar,subcanopy,CACO
CACO_subcanopy,0.001372403,FALSE,FALSE,-0.180865863,0.188187513,0.000200375,vap,curr.apr,subcanopy,CACO
CACO_subcanopy,-0.027506358,FALSE,FALSE,-0.252545002,0.194785743,-0.004016018,vap,curr.may,subcanopy,CACO
CACO_subcanopy,-0.155902515,FALSE,FALSE,-0.309931653,0.015652395,-0.022762278,vap,curr.jun,subcanopy,CACO
CACO_subcanopy,-0.003689376,FALSE,FALSE,-0.192468909,0.165483504,-0.000538661,vap,curr.jul,subcanopy,CACO
CACO_subcanopy,0.056018705,FALSE,FALSE,-0.143875544,0.267190122,0.008178915,vap,curr.aug,subcanopy,CACO
CACO_subcanopy,0.022857693,FALSE,FALSE,-0.161038085,0.204887783,0.003337298,wet,prev.apr,subcanopy,CACO
CACO_subcanopy,-0.022494472,FALSE,FALSE,-0.225648182,0.182998965,-0.003284267,wet,prev.may,subcanopy,CACO
CACO_subcanopy,-0.062743818,FALSE,FALSE,-0.293653481,0.160649616,-0.009160803,wet,prev.jun,subcanopy,CACO
CACO_subcanopy,0.12837991,FALSE,FALSE,-0.071320763,0.290053565,0.018743888,wet,prev.jul,subcanopy,CACO
CACO_subcanopy,0.289897971,TRUE,FALSE,0.095258285,0.468793015,0.042326054,wet,prev.aug,subcanopy,CACO
CACO_subcanopy,0.201899903,TRUE,FALSE,0.040422608,0.353879117,0.029478048,wet,prev.sep,subcanopy,CACO
CACO_subcanopy,0.074431884,FALSE,FALSE,-0.142986749,0.281263041,0.010867299,wet,prev.oct,subcanopy,CACO
CACO_subcanopy,0.084384458,FALSE,FALSE,-0.144461744,0.296722229,0.012320408,wet,prev.nov,subcanopy,CACO
CACO_subcanopy,0.052959633,FALSE,FALSE,-0.185762613,0.343769506,0.00773228,wet,prev.dec,subcanopy,CACO
CACO_subcanopy,-0.098521542,FALSE,FALSE,-0.281682614,0.078244909,-0.014384468,wet,curr.jan,subcanopy,CACO
CACO_subcanopy,0.048152181,FALSE,FALSE,-0.145944514,0.231744136,0.007030376,wet,curr.feb,subcanopy,CACO
CACO_subcanopy,0.113090016,FALSE,FALSE,-0.079376112,0.295443168,0.016511513,wet,curr.mar,subcanopy,CACO
CACO_subcanopy,-0.082176617,FALSE,FALSE,-0.267140054,0.11709972,-0.011998056,wet,curr.apr,subcanopy,CACO
CACO_subcanopy,0.207221948,TRUE,FALSE,0.008751194,0.413842129,0.030255084,wet,curr.may,subcanopy,CACO
CACO_subcanopy,0.201868174,FALSE,FALSE,-0.005959227,0.367465142,0.029473415,wet,curr.jun,subcanopy,CACO
CACO_subcanopy,0.243779476,TRUE,FALSE,0.01377322,0.448017286,0.035592603,wet,curr.jul,subcanopy,CACO
CACO_subcanopy,0.163686076,FALSE,FALSE,-0.050205633,0.347880759,0.023898704,wet,curr.aug,subcanopy,CACO
CACO_subcanopy,-0.043204837,FALSE,FALSE,-0.218155946,0.14899017,-0.006308048,PETminusPRE,prev.apr,subcanopy,CACO
CACO_subcanopy,-0.011783463,FALSE,FALSE,-0.210662962,0.201427426,-0.001720424,PETminusPRE,prev.may,subcanopy,CACO
CACO_subcanopy,0.013863359,FALSE,FALSE,-0.191017369,0.225648405,0.002024096,PETminusPRE,prev.jun,subcanopy,CACO
CACO_subcanopy,-0.081686472,FALSE,FALSE,-0.267672784,0.10081926,-0.011926493,PETminusPRE,prev.jul,subcanopy,CACO
CACO_subcanopy,-0.310630573,TRUE,TRUE,-0.462711004,-0.134879169,-0.045353082,PETminusPRE,prev.aug,subcanopy,CACO
CACO_subcanopy,-0.224947656,TRUE,FALSE,-0.363332948,-0.073610493,-0.032843095,PETminusPRE,prev.sep,subcanopy,CACO
CACO_subcanopy,-0.072150737,FALSE,FALSE,-0.295400255,0.132585528,-0.010534244,PETminusPRE,prev.oct,subcanopy,CACO
CACO_subcanopy,-0.056663915,FALSE,FALSE,-0.256349318,0.155551752,-0.008273117,PETminusPRE,prev.nov,subcanopy,CACO
